emdb_id,resolution,fitted_pdbs
EMD-38857,3.07,8y2m
EMD-47156,2.87,9dtq
EMD-44440,3.2,9bcv
EMD-42892,2.7,8v1y
EMD-61154,2.86,9j5v
EMD-19011,3.1,8r8u
EMD-47282,3.3,9dx7
EMD-44553,2.71,9bhu
EMD-47283,3.4,9dxa
EMD-46771,3.2,9dde
EMD-42498,2.31,"9cbw,9cby"
EMD-51620,2.5,9guu
EMD-45746,3.11,9cmf
EMD-50753,2.7,9fu0
EMD-19176,3.0,8rhh
EMD-51621,3.0,9guv
EMD-50752,2.6,9ftz
EMD-19174,3.0,8rhb
EMD-43092,3.15,8vah
EMD-38548,3.2,8xp2
EMD-51616,3.1,9guq
EMD-51619,2.8,9gut
EMD-45771,3.01,9co6
EMD-47628,2.36,9e71
EMD-47578,1.95,9e6q
EMD-42905,3.46,8v2c
EMD-38039,3.13,8x3l
EMD-42885,2.98,8v1g
EMD-51230,1.9,9gch
EMD-44393,3.3,9b9z
EMD-44394,3.13,9ba0
EMD-42499,2.2,"9cbu,9cbx"
EMD-45175,3.2,9c45
EMD-38549,3.4,8xp3
EMD-51477,2.9,9gnq
EMD-51623,3.3,9gux
EMD-45788,2.7,9cop
EMD-36189,2.73,8jei
EMD-46724,2.9,9dbq
EMD-60929,2.74,9ivk
EMD-51622,3.1,9guw
EMD-45727,3.1,9clo
EMD-44646,3.43,9bkv
EMD-47668,2.53,9e7f
EMD-45174,2.6,9c44
EMD-50026,3.1,9ewy
EMD-51615,2.8,9gup
EMD-46822,3.46,9dg3
EMD-39192,2.37,8yee
EMD-38825,2.17,8y15
EMD-37908,2.57,8wxi
EMD-51517,3.17,9gr1
EMD-46823,2.98,9dgg
EMD-42351,3.05,8ukb
EMD-46728,2.8,9dby
EMD-45608,2.9,9ci2
EMD-44899,2.87,9bu2
EMD-44103,3.0,9b2c
EMD-44452,3.01,9bdg
EMD-44933,2.58,9bvh
EMD-45602,3.49,9chu
EMD-45641,3.0,9ck5
EMD-60119,2.99,8zi2
EMD-45933,3.03,9cuh
EMD-35603,3.19,8io0
EMD-38240,3.49,8xcd
EMD-19869,3.02,9eot
EMD-44964,2.19,9bwc
EMD-36154,3.32,8jc9
EMD-18771,3.0,8qz7
EMD-60611,3.2,9ij0
EMD-60118,2.92,8zi1
EMD-60365,3.0,8zpw
EMD-45654,2.04,9cku
EMD-60049,2.96,8zf0
EMD-50050,2.78,9ey0
EMD-43969,3.3,9axl
EMD-37983,3.1,8x0w
EMD-37945,3.19,8wz3
EMD-42854,3.11,8v0g
EMD-45935,2.78,9cuj
EMD-38769,2.9,8xyd
EMD-60120,2.89,8zi3
EMD-45936,3.26,9cuk
EMD-60538,3.03,8zx5
EMD-19606,3.06,8rz8
EMD-36151,3.11,8jc8
EMD-60355,2.9,8zpv
EMD-44970,3.07,9bwe
EMD-44963,2.21,9bwb
EMD-39860,3.22,8z9d
EMD-44974,2.59,9bwg
EMD-50051,2.9,9ey1
EMD-60537,2.85,8zx4
EMD-46804,2.6,9dez
EMD-38442,2.61,8xl9
EMD-60614,2.6,9ij3
EMD-44934,2.8,9bvj
EMD-45934,3.42,9cui
EMD-44900,2.8,9bu3
EMD-60616,2.8,9ij5
EMD-18770,3.2,8qz6
EMD-50325,3.4,9fd2
EMD-45605,2.9,9chz
EMD-47239,2.8,9dw9
EMD-61290,2.7,9ja5
EMD-45073,2.88,9bzp
EMD-19605,3.37,8rz7
EMD-44976,2.21,9bwj
EMD-46805,2.8,9df0
EMD-60930,3.22,9ivm
EMD-44595,2.83,9bio
EMD-44451,3.01,9bdf
EMD-19607,3.02,8rz9
EMD-60612,3.2,9ij1
EMD-60117,3.18,8zi0
EMD-39506,2.85,8yqu
EMD-19045,3.1,8rc2
EMD-19689,2.9,8s36
EMD-42506,2.73,8usb
EMD-60548,3.09,8zxp
EMD-39505,2.56,8yqt
EMD-38318,2.5,8xgd
EMD-42525,3.22,8ut0
EMD-39280,3.4,8yh3
EMD-18777,3.42,8qzl
EMD-42038,3.2,8u9p
EMD-37973,3.1,8x0b
EMD-39100,3.2,8yaj
EMD-39577,2.25,8yuo
EMD-37909,2.68,8wxj
EMD-19688,2.9,8s35
EMD-41992,3.3,8u7t
EMD-36890,2.9,8k4s
EMD-39508,2.68,8yqw
EMD-37974,3.2,8x0c
EMD-39278,2.86,8yh0
EMD-60521,3.48,8zwa
EMD-37978,3.0,8x0g
EMD-39578,2.39,8yup
EMD-42540,3.13,8uti
EMD-60542,2.76,8zxk
EMD-18780,3.23,8qzq
EMD-19046,3.0,8rc3
EMD-37191,3.2,8kex
EMD-46711,2.6,9db2
EMD-39302,2.81,8yhx
EMD-61525,2.65,9jjf
EMD-42057,3.4,8uaa
EMD-38319,2.89,8xge
EMD-39076,3.3,8y9f
EMD-39580,2.47,8yur
EMD-45407,3.17,9cay
EMD-39579,2.41,8yuq
EMD-18330,2.39,8qcm
EMD-61524,2.52,9jje
EMD-18016,3.0,8py4
EMD-38344,2.72,8xh8
EMD-19125,3.18,8rfj
EMD-38345,2.58,8xh9
EMD-38320,2.95,8xgf
EMD-39627,3.14,8ywa
EMD-18003,3.0,8pxo
EMD-37977,3.3,8x0f
EMD-42507,3.1,8usc
EMD-19690,2.9,8s37
EMD-50518,3.22,9fk0
EMD-42047,3.4,8ua1
EMD-39507,2.67,8yqv
EMD-45919,3.03,9ctu
EMD-39581,2.43,8yus
EMD-39511,2.78,8yqz
EMD-60520,3.03,8zw9
EMD-42076,2.9,8ub4
EMD-39279,3.27,8yh2
EMD-39102,3.1,8yal
EMD-18210,2.56,8q7b
EMD-38322,3.2,8xgg
EMD-37976,3.4,8x0e
EMD-43401,3.18,8vp5
EMD-42496,2.9,8urp
EMD-38509,3.4,8xno
EMD-43400,2.96,8vp3
EMD-44926,2.38,9buz
EMD-42791,3.2,8uy0
EMD-29721,3.24,8g4i
EMD-43202,2.5,8vgj
EMD-38512,3.3,8xnr
EMD-60022,3.17,8ze3
EMD-38469,2.65,8xma
EMD-43221,2.8,8vgq
EMD-43711,3.26,8w0p
EMD-38506,3.1,8xnl
EMD-43754,3.14,8w2p
EMD-47394,3.26,9e1h
EMD-43220,2.7,8vgp
EMD-43203,2.4,8vgk
EMD-47194,3.1,9dva
EMD-47391,2.92,9e1e
EMD-42789,3.3,8uxy
EMD-38516,3.3,8xnv
EMD-42500,3.1,8urt
EMD-61826,3.1,9jub
EMD-38441,2.36,8xl8
EMD-47395,3.2,9e1i
EMD-38436,3.02,8xl3
EMD-18989,2.97,8r7r
EMD-38440,2.85,8xl7
EMD-43394,3.07,8vox
EMD-47393,3.17,9e1g
EMD-19577,3.23,8rxk
EMD-43398,3.48,8vp1
EMD-43404,3.18,8vp9
EMD-47389,2.63,9e1c
EMD-39093,3.34,8yaa
EMD-44015,2.99,9azl
EMD-19019,2.8,8ram
EMD-43406,3.23,8vpb
EMD-38457,2.3,8xls
EMD-38437,3.38,8xl4
EMD-43393,3.44,8vow
EMD-43403,3.37,8vp8
EMD-45277,3.2,9c77
EMD-38520,3.3,8xnz
EMD-17127,3.3,8orj
EMD-38465,3.48,8xm6
EMD-47326,2.51,9dz8
EMD-38439,2.29,8xl6
EMD-43755,3.06,8w2q
EMD-43396,3.03,8voz
EMD-47392,3.03,9e1f
EMD-50522,3.3,9fkd
EMD-47390,2.76,9e1d
EMD-43201,2.7,8vgi
EMD-38494,3.14,8xn1
EMD-19574,3.13,8rxd
EMD-43405,3.11,8vpa
EMD-19573,3.15,8rxc
EMD-37880,3.15,8wvz
EMD-47385,2.68,9e18
EMD-18670,2.07,8qvn
EMD-43525,2.27,8vu3
EMD-45244,3.4,9c6c
EMD-18992,3.12,8r7v
EMD-38438,2.8,8xl5
EMD-47387,3.35,9e1a
EMD-44516,3.28,9bgk
EMD-38435,2.73,8xl2
EMD-38432,2.55,8xkz
EMD-19078,3.33,8rdy
EMD-38434,2.57,8xl1
EMD-37838,2.38,8wto
EMD-37831,2.9,8wta
EMD-19348,3.1,8rm1
EMD-46995,3.2,9dm1
EMD-37822,2.99,8wsr
EMD-39229,3.16,8yft
EMD-42357,3.2,8ul9
EMD-18653,3.2,8qtr
EMD-18652,3.0,8qtn
EMD-42077,3.2,8ub7
EMD-39208,2.64,8yf2
EMD-51132,3.3,9g8m
EMD-37836,2.65,8wtm
EMD-37837,2.95,8wtn
EMD-37264,2.69,8w4a
EMD-47097,2.81,9dp6
EMD-37803,3.1,8wsa
EMD-18643,2.67,8qsz
EMD-37794,2.6,8wry
EMD-45092,3.2,9c0t
EMD-17044,3.48,8op8
EMD-61401,3.23,9jdy
EMD-45300,2.6,9c88
EMD-61747,2.8,9jr3
EMD-41582,2.69,8trk
EMD-43976,2.4,9axv
EMD-19938,1.94,9es7
EMD-43081,2.8,8v9r
EMD-44117,3.28,9b2x
EMD-17041,3.47,8op5
EMD-39418,2.77,8yn8
EMD-44235,2.9,9b62
EMD-41575,2.41,8tra
EMD-61399,3.32,9jdv
EMD-39030,3.4,8y82
EMD-50619,2.85,9fo7
EMD-37522,2.91,8wgy
EMD-43813,3.3,9asd
EMD-39027,2.57,8y7z
EMD-45090,2.8,9c0r
EMD-45117,3.22,9c1f
EMD-17040,3.2,8op4
EMD-43973,1.94,9axu
EMD-37720,2.82,8wpn
EMD-51510,3.46,9gqo
EMD-45116,2.89,9c1e
EMD-45091,3.2,9c0s
EMD-19940,2.33,9es9
EMD-61403,3.23,9je0
EMD-41576,2.36,8trb
EMD-61567,2.66,9jkq
EMD-42151,3.1,8udr
EMD-43842,3.1,9au2
EMD-43972,2.4,9axt
EMD-39028,3.38,8y80
EMD-41573,2.21,8tr8
EMD-50599,2.85,9fnn
EMD-50632,3.37,9fp0
EMD-37719,3.43,8wpm
EMD-42164,1.85,8uem
EMD-19939,2.24,9es8
EMD-44577,2.61,9bi9
EMD-41572,2.53,8tr7
EMD-43274,2.63,8viz
EMD-37718,3.04,8wpl
EMD-42941,3.01,8v32
EMD-45089,3.3,9c0q
EMD-39417,2.77,8yn7
EMD-41571,2.18,8tr6
EMD-37753,2.6,8wqt
EMD-61746,2.8,9jr2
EMD-45154,2.9,9c2c
EMD-39098,2.33,8yag
EMD-39419,2.3,8yn9
EMD-44074,3.3,9b1d
EMD-42130,3.18,8ucl
EMD-19468,3.1,8rrx
EMD-37936,3.39,8wyr
EMD-37677,2.24,8wo1
EMD-44370,2.61,9b95
EMD-39415,2.7,8yn5
EMD-39416,2.77,8yn6
EMD-51237,2.8,9gcu
EMD-44299,1.96,9b73
EMD-38688,3.0,8xv0
EMD-39210,3.41,8yf4
EMD-42134,3.28,8ucp
EMD-45152,2.74,9c2a
EMD-38687,3.05,8xuz
EMD-39412,2.66,8yn2
EMD-37440,2.2,8wci
EMD-38936,3.0,8y5i
EMD-42129,3.26,8uck
EMD-38686,3.14,8xuy
EMD-19472,3.3,8rs0
EMD-51700,2.5,9gyo
EMD-42133,3.25,8uco
EMD-44493,2.97,9bfd
EMD-38935,3.1,8y5h
EMD-60962,2.86,9iws
EMD-42132,3.31,8ucn
EMD-38362,2.6,8xi2
EMD-42128,3.2,8ucj
EMD-38934,3.0,8y5g
EMD-44494,3.23,9bfe
EMD-37937,3.41,8wys
EMD-44046,2.99,9b0l
EMD-39413,2.56,8yn3
EMD-39420,2.63,8yna
EMD-44495,3.31,9bff
EMD-45432,2.46,9cc2
EMD-39414,2.97,8yn4
EMD-19466,3.2,8rrv
EMD-37524,2.51,8wh0
EMD-19463,3.4,8rrs
EMD-19653,3.0,8s24
EMD-42131,3.14,8ucm
EMD-45153,2.42,9c2b
EMD-37910,2.59,8wxl
EMD-38689,3.05,8xv1
EMD-39400,2.5,8ymn
EMD-39402,2.6,8ymp
EMD-39399,2.8,8ymm
EMD-18956,3.16,8r6p
EMD-51452,2.59,9gmo
EMD-45127,2.8,9c1p
EMD-37591,3.2,8wjx
EMD-60916,3.19,9iuz
EMD-16874,3.1,8ogj
EMD-51522,2.0,9gre
EMD-39108,3.1,8yb4
EMD-18693,3.14,8qwe
EMD-19619,3.2,8s0a
EMD-43707,3.4,8w0e
EMD-18650,3.09,8qti
EMD-45156,2.8,9c2f
EMD-19618,3.1,8s09
EMD-19750,3.28,8s5u
EMD-38374,3.37,8xij
EMD-19963,2.4,9etz
EMD-43499,2.28,8vsj
EMD-18656,3.45,8qu6
EMD-16862,3.2,8ofx
EMD-19753,3.0,8s5z
EMD-18694,3.08,8qwf
EMD-39403,2.6,8ymq
EMD-41658,3.3,8tw4
EMD-51088,2.87,9g5k
EMD-16864,3.2,8ofz
EMD-45400,3.2,9caq
EMD-60795,2.9,9iqt
EMD-44417,3.3,9bbc
EMD-51521,1.99,9grd
EMD-43708,2.8,8w0f
EMD-39401,2.7,8ymo
EMD-18873,3.49,8r3m
EMD-18511,3.14,8qn8
EMD-19881,1.9,9epo
EMD-18851,3.44,8r2m
EMD-19752,3.05,8s5w
EMD-42378,2.9,8umf
EMD-18506,3.3,8qmp
EMD-18691,3.33,8qwd
EMD-41660,3.1,8tw6
EMD-19716,3.09,8s4u
EMD-37501,3.4,8wg3
EMD-39435,3.2,8yo4
EMD-18458,2.77,8qk7
EMD-18457,3.18,8qk6
EMD-45624,3.0,9cj7
EMD-39227,3.4,8yfr
EMD-45644,3.04,9ck8
EMD-18641,2.89,8qst
EMD-18446,2.86,8qjf
EMD-45916,2.42,9ctr
EMD-42793,1.9,8uy6
EMD-43522,2.5,8vtb
EMD-37775,2.9,8wre
EMD-39437,3.16,8yo7
EMD-18463,3.46,8qki
EMD-18640,2.56,8qsr
EMD-45915,2.41,9ctq
EMD-37511,3.4,8wge
EMD-43521,3.0,8vta
EMD-40780,3.38,8suy
EMD-43168,2.8,8ve8
EMD-18046,2.9,8pzv
EMD-45918,2.5,9ctt
EMD-39226,3.3,8yfq
EMD-60015,3.45,8zdw
EMD-39391,2.8,8ylu
EMD-45917,2.45,9cts
EMD-40739,3.22,8srr
EMD-37867,3.18,8wvg
EMD-37639,3.34,8wm3
EMD-60014,2.8,8zdv
EMD-43141,2.8,8vcv
EMD-37530,3.27,8wh6
EMD-45643,3.45,9ck7
EMD-43520,2.9,8vt9
EMD-37252,3.4,8ki6
EMD-36763,3.37,8k0f
EMD-19907,2.4,9eqg
EMD-60910,3.08,9ium
EMD-35334,3.4,8ib7
EMD-44086,3.1,9b1o
EMD-60575,3.19,8zyp
EMD-45572,2.61,9cg6
EMD-37458,3.35,8wd9
EMD-43831,3.2,9ato
EMD-39895,3.1,8zb6
EMD-60574,3.29,8zyo
EMD-35338,3.3,8ibb
EMD-41930,2.4,8u5q
EMD-44078,2.7,9b1g
EMD-60908,3.38,9iuk
EMD-41934,2.77,8u5v
EMD-38539,3.2,8xos
EMD-42489,2.5,8urc
EMD-39245,2.76,8yge
EMD-39871,2.96,8z9x
EMD-45569,2.59,9cg5
EMD-36774,3.17,8k0m
EMD-35333,3.3,8ib6
EMD-50169,3.09,9f34
EMD-41913,2.75,8u56
EMD-35316,3.4,8iar
EMD-44085,3.1,9b1n
EMD-41912,2.65,8u54
EMD-41929,3.0,8u5n
EMD-45573,2.75,9cg7
EMD-60909,3.3,9iul
EMD-50168,3.05,9f33
EMD-37459,3.26,8wda
EMD-44082,3.3,9b1k
EMD-43930,2.6,9ax8
EMD-44084,3.0,9b1m
EMD-44079,2.9,9b1h
EMD-43929,2.63,9ax7
EMD-35342,3.3,8ibf
EMD-44077,2.9,9b1f
EMD-35341,3.3,8ibe
EMD-35337,3.2,8iba
EMD-35332,3.3,8ib5
EMD-36787,3.18,8k17
EMD-41935,2.79,8u5x
EMD-35315,3.4,8iaq
EMD-37460,2.86,8wdb
EMD-42719,3.2,8ux9
EMD-44083,3.1,9b1l
EMD-51247,3.0,9gd3
EMD-41916,2.68,8u5c
EMD-43672,2.8,8vyn
EMD-41914,2.45,8u58
EMD-38538,3.0,8xor
EMD-42490,2.8,8urd
EMD-35354,3.2,8ic4
EMD-39703,3.27,8z0f
EMD-43667,3.4,8vym
EMD-44081,3.0,9b1j
EMD-35314,3.2,8iap
EMD-60576,3.18,8zyq
EMD-35353,3.2,8ic3
EMD-38428,3.3,8xkv
EMD-60686,2.65,9ima
EMD-60331,2.6,8zpb
EMD-38590,2.8,8xqx
EMD-18324,2.3,8qby
EMD-39237,2.77,8yg6
EMD-43747,3.0,8w2g
EMD-44358,2.95,9b8t
EMD-18338,3.1,8qcz
EMD-44038,3.19,9b0e
EMD-19386,2.87,8rn4
EMD-19053,3.4,8rck
EMD-45426,3.2,9cbm
EMD-38929,2.93,8y53
EMD-43494,3.2,8vsd
EMD-45524,3.41,9cez
EMD-43750,3.1,8w2j
EMD-19368,3.25,8rmr
EMD-43748,2.6,8w2h
EMD-38589,2.9,8xqw
EMD-39238,2.97,8yg8
EMD-43489,2.73,8vs6
EMD-50507,3.05,9fjo
EMD-46534,3.26,9d3g
EMD-43996,3.29,9aym
EMD-19385,2.78,8rn3
EMD-45527,3.15,9cf2
EMD-37577,3.36,8wj3
EMD-19056,3.1,8rcn
EMD-37428,3.2,8wbz
EMD-40796,2.8,8sw3
EMD-45425,2.8,9cbl
EMD-39925,3.14,8zc9
EMD-60325,2.4,8zp2
EMD-45521,2.88,9cew
EMD-44042,3.02,9b0i
EMD-38914,3.4,8y4a
EMD-44812,3.3,9bqj
EMD-37592,3.34,8wk0
EMD-60324,2.5,8zp1
EMD-45525,3.47,9cf0
EMD-45520,3.26,9cev
EMD-42247,3.3,8uh6
EMD-45519,3.29,9ceu
EMD-45728,3.43,9clp
EMD-60322,2.5,8zoy
EMD-19366,2.77,8rmp
EMD-37707,3.15,8wp1
EMD-37569,3.41,8wiv
EMD-19367,2.54,8rmq
EMD-19528,2.28,8rvp
EMD-45392,2.59,9cai
EMD-39880,2.5,8zam
EMD-19387,2.88,8rn5
EMD-41676,2.99,8tx3
EMD-37641,3.04,8wm5
EMD-43118,3.29,8vba
EMD-51339,2.6,9ggq
EMD-19389,3.09,8rn7
EMD-51221,2.39,9gbk
EMD-18325,2.5,8qc1
EMD-45518,3.0,9cet
EMD-41713,3.3,8tyc
EMD-45437,2.66,9cc8
EMD-41811,3.0,8u1h
EMD-19541,3.35,8rw1
EMD-46533,3.02,9d3e
EMD-19523,2.14,8rvl
EMD-36238,3.14,8jgl
EMD-19529,2.02,8rvq
EMD-45528,3.2,9cf3
EMD-19390,2.92,8rn8
EMD-45517,3.28,9ces
EMD-16746,2.41,8cmu
EMD-19369,3.21,8rms
EMD-19801,3.45,8s8d
EMD-38425,3.2,8xku
EMD-37427,3.18,8wby
EMD-41705,3.22,8txu
EMD-19527,2.69,8rvo
EMD-37686,2.97,8wog
EMD-45522,3.27,9cex
EMD-45523,3.22,9cey
EMD-43819,2.8,9asm
EMD-39198,2.73,8yek
EMD-36711,3.0,8jxs
EMD-41669,2.6,8twk
EMD-50316,3.2,9fci
EMD-60647,2.61,9ik1
EMD-19981,2.95,9eut
EMD-39882,2.6,8zao
EMD-42889,3.26,8v1s
EMD-18537,3.1,8qog
EMD-43820,3.2,9asn
EMD-19989,2.95,9euy
EMD-39881,2.4,8zan
EMD-39197,2.86,8yej
EMD-44178,2.7,9b4e
EMD-36246,2.98,8jgv
EMD-42890,2.8,8v1t
EMD-44180,2.87,9b4g
EMD-43478,3.06,8vr9
EMD-45085,2.91,9c0i
EMD-45086,3.17,9c0j
EMD-19254,3.38,8rk0
EMD-39883,2.6,8zap
EMD-42888,2.9,8v1r
EMD-41670,2.7,8twl
EMD-39199,2.71,8yel
EMD-43822,3.2,9asp
EMD-44979,2.5,9bwt
EMD-44533,2.63,9bh5
EMD-43479,3.12,8vra
EMD-36200,3.06,8jev
EMD-43173,3.22,8ves
EMD-50317,2.7,9fcj
EMD-44449,2.86,9bdd
EMD-50091,2.56,9ezy
EMD-44179,3.27,9b4f
EMD-37219,2.9,8kgf
EMD-41622,2.1,8tue
EMD-18946,3.2,8r64
EMD-43823,3.0,9asq
EMD-44641,2.6,9bkd
EMD-36236,3.3,8jgj
EMD-42028,2.74,8u8v
EMD-61287,2.98,9ja1
EMD-43821,2.9,9aso
EMD-41671,2.6,8twm
EMD-41665,3.2,8twb
EMD-39121,2.59,8ybq
EMD-43411,2.7,8vpn
EMD-43412,2.9,8vpp
EMD-18536,3.3,8qof
EMD-42027,2.9,8u8u
EMD-28663,3.3,8exx
EMD-43480,3.25,8vrb
EMD-42887,2.7,8v1q
EMD-37234,2.96,8kgw
EMD-39884,2.6,8zaq
EMD-44766,3.21,9bpa
EMD-42218,3.49,8ug9
EMD-38370,3.4,8xi4
EMD-38707,3.21,8xvk
EMD-41359,3.2,8tl2
EMD-38371,3.4,8xi5
EMD-39073,3.0,8y9c
EMD-39072,3.2,8y9b
EMD-37271,2.4,8w51
EMD-37258,2.5,8kie
EMD-41346,3.1,8tkc
EMD-41361,3.2,8tl4
EMD-19171,2.78,8rh7
EMD-41038,2.07,8t4q
EMD-19172,2.66,8rh8
EMD-19173,3.21,8rh9
EMD-41360,3.1,8tl3
EMD-19175,3.01,8rhg
EMD-41362,3.3,8tl5
EMD-44765,3.21,9bp9
EMD-38706,3.26,8xvj
EMD-19167,2.52,8rh4
EMD-38708,3.22,8xvl
EMD-50126,3.26,9f1d
EMD-44260,3.26,9b6i
EMD-50124,3.01,9f1b
EMD-39767,2.85,8z4l
EMD-41903,2.81,8u4x
EMD-38328,3.29,8xgm
EMD-51222,2.32,9gbv
EMD-45206,2.75,9c57
EMD-39766,2.97,8z4j
EMD-60915,1.51,9iuy
EMD-42291,3.21,8uib
EMD-37233,3.2,8kgv
EMD-39288,3.07,8yhe
EMD-45185,2.53,9c4g
EMD-60562,3.04,8zyd
EMD-44257,3.42,9b6f
EMD-42625,3.22,8uvo
EMD-44256,2.91,9b6e
EMD-36364,2.9,8jjp
EMD-60629,2.34,9ije
EMD-42627,3.42,8uvq
EMD-42456,3.4,8upx
EMD-41942,3.01,8u63
EMD-42603,3.23,8uv2
EMD-18162,2.39,8q54
EMD-41766,3.2,8tzq
EMD-60099,3.41,8zhd
EMD-39857,3.2,8z99
EMD-60100,3.16,8zhe
EMD-50263,2.8,9f9y
EMD-45252,3.29,9c6n
EMD-42030,3.25,8u8z
EMD-41944,3.01,8u65
EMD-60561,2.99,8zyc
EMD-44255,3.3,9b6d
EMD-60108,3.39,8zhm
EMD-39287,2.93,8yhd
EMD-41941,3.3,8u62
EMD-41776,3.28,8u02
EMD-39861,3.13,8z9e
EMD-60628,2.76,9ijd
EMD-41943,3.13,8u64
EMD-44259,2.76,9b6h
EMD-39859,3.01,8z9c
EMD-44748,3.33,9boq
EMD-60410,3.26,8zsb
EMD-42284,3.28,8uhw
EMD-44258,2.81,9b6g
EMD-18602,2.73,8qqr
EMD-27922,3.4,8e6q
EMD-41570,2.53,8tr5
EMD-38851,2.8,8y2d
EMD-37108,2.4,8kcs
EMD-43815,2.79,9asi
EMD-18606,2.99,8qqv
EMD-39212,3.23,8yf6
EMD-18184,2.54,8q65
EMD-38850,3.16,8y2c
EMD-37110,2.7,8kcu
EMD-45181,3.09,9c4c
EMD-41589,3.11,8ts3
EMD-39215,3.12,8yf9
EMD-50149,2.48,9f2k
EMD-38852,3.03,8y2e
EMD-19209,3.1,8rjf
EMD-35258,3.2,8i96
EMD-18626,2.9,8qru
EMD-18621,2.6,8qro
EMD-37575,2.27,8wj1
EMD-42976,2.49,8v4s
EMD-18628,3.0,8qrw
EMD-36577,2.75,8jqr
EMD-43257,3.48,8vic
EMD-41587,2.92,8ts1
EMD-37107,3.0,8kcp
EMD-38854,2.83,8y2g
EMD-37106,2.8,8kco
EMD-17699,3.2,8pj4
EMD-17696,3.4,8pj1
EMD-38853,2.97,8y2f
EMD-37571,2.29,8wix
EMD-18604,2.76,8qqt
EMD-37109,2.6,8kct
EMD-18128,3.11,8q3i
EMD-27926,3.2,8e6u
EMD-37574,2.24,8wj0
EMD-39390,3.09,8ylt
EMD-18622,2.7,8qrp
EMD-18608,3.01,8qqx
EMD-18601,2.43,8qqq
EMD-41770,2.8,8tzv
EMD-41581,2.78,8trj
EMD-41461,2.3,8tox
EMD-18145,3.1,8q4f
EMD-51190,2.9,9gaw
EMD-37573,2.2,8wiz
EMD-17697,3.4,8pj2
EMD-37129,3.19,8kda
EMD-17701,2.9,8pj6
EMD-18624,2.78,8qrr
EMD-18623,2.74,8qrq
EMD-18625,2.86,8qrs
EMD-27927,3.3,8e6v
EMD-18627,2.9,8qrv
EMD-43814,2.58,9ash
EMD-37576,2.35,8wj2
EMD-17700,2.9,8pj5
EMD-19128,3.4,8rg0
EMD-18113,2.98,8q2n
EMD-39213,2.82,8yf7
EMD-18600,2.35,8qqp
EMD-37572,2.31,8wiy
EMD-38161,2.55,8x94
EMD-36969,2.83,8k8z
EMD-36973,3.23,8k93
EMD-37846,3.2,8wty
EMD-38099,3.27,8x7i
EMD-19398,3.0,8ro1
EMD-18050,2.77,8q05
EMD-43197,2.48,8vg1
EMD-36965,2.75,8k8v
EMD-36968,2.54,8k8y
EMD-45430,3.31,9cc0
EMD-38100,3.39,8x7j
EMD-19397,2.9,8ro0
EMD-37938,2.7,8wyt
EMD-41438,3.39,8to7
EMD-36974,3.4,8k94
EMD-45078,3.26,9c0b
EMD-37842,2.7,8wtu
EMD-38101,3.27,8x7k
EMD-37844,2.8,8wtw
EMD-60655,1.9,9ikc
EMD-41426,3.36,8tnu
EMD-45749,2.83,9cmi
EMD-36971,3.03,8k91
EMD-37941,3.1,8wyy
EMD-37845,2.9,8wtx
EMD-36977,2.73,8k97
EMD-19897,2.17,9eq5
EMD-36975,3.05,8k95
EMD-41498,3.3,8tq1
EMD-36976,2.89,8k96
EMD-37843,2.7,8wtv
EMD-60397,2.67,8zri
EMD-43196,3.07,8vg0
EMD-18049,2.39,8q04
EMD-36970,3.43,8k90
EMD-36972,3.31,8k92
EMD-50225,3.3,9f6i
EMD-43128,3.19,8vby
EMD-37939,3.2,8wyu
EMD-45433,3.23,9cc3
EMD-38455,2.57,8xlp
EMD-43925,2.45,9awj
EMD-60063,2.64,8zfk
EMD-15127,3.3,8a3y
EMD-41577,3.3,8trc
EMD-60065,2.96,8zfm
EMD-41309,3.29,8tjr
EMD-42117,3.0,8uc8
EMD-44438,2.5,9bct
EMD-39594,3.0,8yv8
EMD-37442,2.65,8wcl
EMD-37520,3.47,8wgx
EMD-35113,3.4,8i0w
EMD-35110,3.3,8i0u
EMD-41310,3.31,8tjs
EMD-36914,3.4,8k60
EMD-35109,3.0,8i0t
EMD-39034,2.73,8y85
EMD-60225,3.35,8zle
EMD-44484,3.3,9bew
EMD-37220,3.06,8kgg
EMD-35105,3.4,8i0p
EMD-45615,3.39,9cia
EMD-18661,3.3,8que
EMD-36944,3.17,8k7v
EMD-45364,2.01,9c9m
EMD-43138,3.32,8vcj
EMD-42116,2.9,8uc7
EMD-43924,2.09,9avv
EMD-37515,2.75,8wgr
EMD-44426,3.3,9bc7
EMD-39600,2.0,8yvg
EMD-41578,3.4,8trd
EMD-39110,3.06,8yb6
EMD-43517,3.33,8vt3
EMD-44425,2.5,9bc6
EMD-43780,3.13,9arf
EMD-18834,3.2,8r23
EMD-35107,3.0,8i0r
EMD-39286,3.4,8yha
EMD-43516,3.14,8vt2
EMD-43926,2.14,9awk
EMD-39729,3.4,8z1l
EMD-39482,2.7,8ypk
EMD-41574,3.2,8tr9
EMD-41567,3.2,8tr0
EMD-43746,3.1,8w2f
EMD-44439,2.2,9bcu
EMD-41501,3.3,8tqb
EMD-43923,2.45,9avu
EMD-43139,3.0,8vcr
EMD-35111,3.0,8i0v
EMD-39612,2.5,8yvp
EMD-39035,2.75,8y86
EMD-39565,2.2,8ysx
EMD-60064,2.61,8zfl
EMD-37441,2.71,8wck
EMD-37007,3.3,8kab
